po_no,tot_po_ord,net_cost,row_count
111634,100254,95715.7770,1
111606,95604,90060.1320,1
111557,85734,81031.6350,1
111591,88218,80636.3550,1
111614,77244,71325.3960,1
111622,69450,69279.4950,1
111560,68334,63604.8030,1
111567,67626,62116.2270,1
111579,65016,61278.4140,1
111621,67860,58280.1900,1
111571,63402,56796.3270,1
111599,67308,55708.9020,1
111662,58218,52436.9850,1
111559,52554,46681.9650,1
111562,53328,46287.3600,1
111635,48846,45081.7290,1
111661,50574,43989.9450,1
111626,49320,43878.5040,1
111605,50244,41354.2020,1
111607,47550,40168.9410,1
111590,46632,38806.3140,1
111642,42504,37633.9080,1
111563,43170,35606.2650,1
111598,33078,33487.0710,1
111660,34686,31759.3890,1
111586,43344,31439.4060,1
111657,30450,31339.8990,1
111601,32478,30822.7590,1
111581,44682,30635.0370,1
111654,31662,26169.4710,1
111578,29910,26092.0470,1
111558,28950,25262.2650,1
111595,27060,25123.4400,1
111585,22056,24637.3920,1
111602,28140,24530.8620,1
111619,24690,23089.4730,1
111592,24060,22013.6220,1
111572,26244,21361.0440,1
111633,30264,20678.1660,1
111653,33966,20631.1650,1
111620,32268,20365.1400,1
111570,23400,19340.8980,1
111641,20898,18959.4570,1
111639,18576,18869.6160,1
111627,21114,18634.4610,1
111561,18558,17029.7610,1
111649,21864,15847.6680,1
111630,20706,15692.6850,1
111613,16170,15630.6030,1
111618,17340,15302.8020,1
111625,21636,15093.6780,1
111587,17484,15057.2700,1
111582,16518,13283.3310,1
111611,17868,12713.8620,1
111658,14292,12467.9400,1
111604,23538,12196.1730,1
111574,19020,12102.6300,1
111577,11364,11924.7420,1
111593,16428,11537.9700,1
111580,9144,11406.1680,1
111565,14334,11053.2630,1
111636,13878,10681.9410,1
111617,13644,10469.8620,1
111648,21180,10254.1020,1
111568,14256,10015.3800,1
111637,9984,9926.1720,1
111597,14700,9163.0020,1
111652,15000,9143.5080,1
111608,10686,8906.6670,1
111644,8784,8853.3600,1
111594,9042,8227.7190,1
111575,13134,8112.6270,1
111600,6264,7906.2240,1
111576,15234,7686.1590,1
111638,5364,7257.3120,1
111624,10302,7167.6150,1
111659,10164,7117.3080,1
111645,5934,6924.2610,1
111656,11274,6735.7110,1
111643,11040,6256.2360,1
111646,5832,6166.0800,1
111628,13086,6102.5850,1
111629,3948,5984.7420,1
111651,8610,5889.1230,1
111612,6174,5848.6650,1
111564,8646,5817.2190,1
111640,8724,5756.6820,1
111589,4752,5546.6820,1
111615,7050,5428.0710,1
111573,7032,5370.0480,1
111584,6522,5226.4230,1
111569,5004,5191.5540,1
111655,7986,5138.7210,1
111566,6024,4769.1300,1
111647,8658,4659.2910,1
111650,5478,4637.2410,1
111616,9420,4342.7940,1
111623,8322,4125.4110,1
111596,6702,3196.8210,1
111631,4344,2806.0200,1
111583,2610,2528.4750,1
111609,4086,2143.7130,1
111588,4476,2069.5500,1
111610,3798,1806.2370,1
111632,1248,746.1120,1
111603,2052,651.5460,1
